Date,Publication,Headline,URL
20070101,New York Times,Rush to Hang Hussein Was  Questioned,http://www.nytimes.com/2007/01/01/world/middleeast/01iraq.html?hp&ex=1167714000&en=85dae91ed8178e3a&ei=5094&partner=homepage
20070101,New York Times,"News Analysis: For Sunnis, Dictators End Is Ominous",http://www.nytimes.com/2007/01/01/world/middleeast/01sunnis.html
20070101,New York Times,Hard Choices Over Video,http://www.nytimes.com/2007/01/01/world/middleeast/01tube.html
20070101,New York Times,States Take Lead on Ethics Rules for Lawmakers,http://www.nytimes.com/2007/01/01/us/01ethics.html?hp&ex=1167714000&en=b688cf3a888aff05&ei=5094&partner=homepage
20070101,New York Times,"Spitzer Arrives With Mandate, but Faces Challenges",http://www.nytimes.com/2007/01/01/nyregion/01eliot.html?hp&ex=1167714000&en=46787599092af443&ei=5094&partner=homepage
20070101,New York Times,"Amid Champagne and Cheers, Spitzer Is Sworn in as Governor",http://www.nytimes.com/2007/01/01/nyregion/01inaug.html
20070101,New York Times,Graphic:  The Spitzer Team,http://www.nytimes.com/imagepages/2006/12/31/nyregion/20070101_ELIOT_GRAPHIC.html
20070101,New York Times,Their Stories,http://www.nytimes.com/2006/12/28/us/20061228_3000FACES_TAB3.html
20070101,New York Times,"Grim Milestone in Iraq: 3,000 U.S. Deaths",http://www.nytimes.com/2007/01/01/us/01deaths.html
20070101,New York Times,"From Father to Son, Last Words to Live By",http://www.nytimes.com/2007/01/01/us/01charles.html
20070101,New York Times,Audio & Photos,"javascript:pop_me_up2('http://www.nytimes.com/packages/khtml/2006/12/31/us/20070102_DANA_FEATURE.html', '600_475', 'width=600,height=475,location=no,scrollbars=yes,toolbars=no,resizable=yes')"
20070101,New York Times,"A Century Later, Los Angeles Atones for Water Sins",http://www.nytimes.com/2007/01/01/us/01water.html?hp&ex=1167714000&en=305207360bbf215b&ei=5094&partner=homepage
20070101,New York Times,Islamists Abandon Final Stronghold in Somalia,http://www.nytimes.com/2007/01/01/world/africa/01cnd-somalia.html?hp&ex=1167714000&en=1ad156d42414f508&ei=5094&partner=homepage
20070101,New York Times,This Remaking of Downtown Has Downside,http://www.nytimes.com/2007/01/01/us/01madison.html?hp&ex=1167714000&en=a27921d094d827c5&ei=5094&partner=homepage
20070101,New York Times,Slide Show: New Years Celebrations Around the World,"javascript:pop_me_up2('http://www.nytimes.com/slideshow/2006/12/31/world/20070101_NEWYEAR_SLIDESHOW_index.html', '750_700', 'width=750,height=700,location=no,scrollbars=yes,toolbars=no,resizable=yes')"
20070101,New York Times,2006 in Pictures,"javascript:pop_me_up2('http://www.nytimes.com/packages/khtml/2006/12/23/multimedia/20061225_YIP_FEATURE.html', '680_550', 'width=680,height=550,location=no,scrollbars=yes,toolbars=no,resizable=yes')"
20070101,New York Times,Dave Anderson: Sports of The Times,http://select.nytimes.com/2007/01/01/sports/football/01anderson.html
20070101,New York Times,,http://www.nytimes.com/2007/01/01/arts/music/01carl.html
20070101,New York Times,Old Model Versus a Speedster,http://www.nytimes.com/2006/12/18/technology/18youtube.html?8dpc
20070101,New York Times,Krugman: Healthy 2007,http://select.nytimes.com/2007/01/01/opinion/01krugman.html?hp
20070101,New York Times,Herbert: Not Wanted,http://select.nytimes.com/2007/01/01/opinion/01herbert.html?hp
20070101,New York Times,Op-Ed: Follys Antidote,http://www.nytimes.com/2007/01/01/opinion/01schlesinger.html?hp
20070101,New York Times,Editorial: A Fresh Start,http://www.nytimes.com/2007/01/01/opinion/01mon1.html?hp
20070101,New York Times,Sectors,"javascript:pop_me_up2('http://www.nytimes.com/packages/khtml/2006/04/02/business/20060402_SECTOR_GRAPHIC.html',
  '989_650','width=989,height=650,location=no,scrollbars=yes,toolbars=no,resizable=yes')"
20070101,New York Times,Moving for the Food,http://www.nytimes.com/2006/12/31/realestate/31cover.html
20070101,New York Times,California Customizer Makes Leap,http://www.nytimes.com/2006/12/17/automobiles/17FOOSE.html
20070101,New York Times,Flex Time for the Rest of Us,http://www.nytimes.com/2006/12/17/jobs/17wcol.html?8dpc
20070101,New York Times,"Anderson: Jets, Giants and Chemistry",http://select.nytimes.com/2007/01/01/sports/football/01anderson.html
20070101,New York Times,Tehran Radio Lets Critics Vent Over Nuclear Plans,http://www.nytimes.com/2007/01/01/world/middleeast/01tehran.html
20070101,New York Times,The Lives They Lived: Everybodys Wendy,http://www.nytimes.com/2006/12/31/magazine/31wasserstein.t.html
20070101,New York Times,"Like It or Not, Citys Lack of Snow Is a Rarity",http://www.nytimes.com/2007/01/01/nyregion/01nosnow.html
20070101,New York Times,"Hush, Little Baby, Mamas Crooning",http://www.nytimes.com/2007/01/01/arts/music/01carl.html
20070101,New York Times,"News Analysis: For Sunnis, Dictators Degrading End Signals Ominous Dawn for the New Iraq",http://www.nytimes.com/2007/01/01/world/middleeast/01sunnis.html
20070101,New York Times,"3,000 Deaths in Iraq, Countless Tears at Home",http://www.nytimes.com/2007/01/01/us/01deaths.html
20070101,New York Times,Bombs in Bangkok Kill 2 and Wound More Than 30,http://www.nytimes.com/2007/01/01/world/asia/01thailand.html
20070101,New York Times,"An Appreciation: From Father to Son, Last Words to Live By",http://www.nytimes.com/2007/01/01/us/01charles.html
20070101,New York Times,The Burden of an Unsolved Case and Its Nameless Victim,http://www.nytimes.com/2007/01/01/us/01boy.html
